UID,Country,Country.region,City,Date.announced,Date.started,Date.ended,End.circumstance,Description,Initiative.name,Primary.type,Action,Function,Application,Category,Space,Time,Intensity,Scale,Infrastructure.affected,Management,Length.km,Trigger,Policy,Selection.process,Anticipated.longevity,Purpose,Strategy,Budget,Approach,Sector.type,Sources,Comments,Public.engagement,Verified.local,Date.verified,Corrected,Date.corrected,Verifier.role,Contact.info,Lessons.learned,Corrections,Perception,Mode.type,Modes,Modes.other,Partners,Governments,For.profits,Non.profits,World.region,Country.code,Country.region.code,TC.CP.2021,,,,,,OriginalUID,OriginalID,all.IDs
32,United States,California,San Francisco,,3/17/2020,,,"TC: NA. MW: Enforcement will be temporarily suspended for the following: 72-hour parking limit and towing; all time limit parking (e.g., 1-hour, 2-hour, etc.); Residential Permit Parking (RPP) permits; commuter shuttles; peak-hour tow away zones; and street cleaning. The San Francisco Municipal Transportation Agency (SFMTA) prioritizes enforcing parking rules that impact health and safety: fire hydrant zones; red & yellow zones; & ""No Stopping"" or ""No Parking"" zones; white passenger loading zones, except in front of schools while they are out of session; blocked driveways, double parking & parking on sidewalks; and parking in bicycle or transit lanes. Given the significant shifts in parking demand, the city is implementing a temporary rate change for all parking meters citywide until further notice. Time limits are also being waived on meters citywide. All meters will be temporarily reduced to their base rates. The city is maintaining a minimal fee to ensure there continues to be turnover around essential services, such as grocery stores, medical facilities and banks.. ML: NA",San Francisco changes parking enforcement policies,"Legal, policy, enforcement, funding changes",Other strategies: free car parking,promote cars,free car parking,Regulatory,Parking lane,All day every day,N/A,entire city,Road space (includes bridges),unknown,,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Public health,Other,,Introducing new processes,unknown,https://www.sfmta.com/projects/covid-19-developments-response,,,,,,,,,,,,Public space,Parking,,San Francisco Municipal Transportation Agency (SFMTA),1,,,North America,US,US-CA,1,,,,,,33,MW272,MW272
33,United States,California,San Jose,,3/17/2020,,,"TC: NA. MW: Parking citations, vehicle abatement, and the processing of parking tickets and fees have been suspended. Parking officers will not be ticketing for parking violations, or towing abandoned or illegally stored vehicles on city streets. Vehicles parked in an unsafe manner will be referred to the San José Police Department. Citation payment and adjudication (contesting a ticket) deadlines are also suspended for thirty days, through April 16, 2020. Payments and adjudication requests for previously issued citations can still be completed online. Downtown parking garages will continue to operate, with limited staffing, allowing the public access to essential services, such as restaurants with take-out options.. ML: NA",San Jose changes parking enforcement policies,"Legal, policy, enforcement, funding changes",Other strategies: free car parking,promote cars,free car parking,Regulatory,unknown,All day every day,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Input or request from community,Temporary,Public health,Other,,Introducing new processes,unknown,https://www.sanjoseca.gov/Home/Components/News/News/961/4699,,,,,,,,,,,,Public space,Parking,,San Jose Department of Transportation,1,,,North America,US,US-CA,1,,,,,,34,MW283,MW283
34,United States,Washington,Seattle,,3/17/2020,,,"TC: NA. MW: Mayor Jenny A. Durkan announced that the Seattle Department of Transportation is converting on-street parking spaces near restaurants to temporary loading zones to facilitate curbside meal pickup. The first locations to receive temporary loading zones are areas with high concentrations of restaurants on blocks that do not otherwise have enough loading options. The Seattle Department of Transportation (SDOT) utilized Coord, its curb management system, to search and make changes rapidly to its curb regulations. SDOT selected the initial placement locations based on areas that have seen a reduction in paid parking traffic over the last several weeks. The Seattle Department of Transportation will identify additional locations to place curbside pickup signs in coordination with organizations like the Office of Economic Development, the Seattle Restaurant Alliance and the Greater Seattle Business Association. Restaurants can request a loading zone near their establishment.. ML: NA",Seattle institutes temporary loading zones for restaurants,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,Parking lane,Specific hours during daytime,N/A,one or more streets,Road space (includes bridges),unknown,,Reactive response (to higher contagion),New action,Input or request from community,Temporary,Economic recovery,Change of use,,unknown,unknown,https://durkan.seattle.gov/2020/03/mayor-durkan-announces-new-measures-to-facilitate-curbside-food-pickup-near-restaurants/,,,,,,,,,,,,Public space,,,"Seattle Department of Transportation (SDOT), Coord",1,1,,North America,US,US-WA,1,,,,,,35,MW477,MW477
35,United States,Oregon,Springfield,,3/17/2020,,,TC: NA. MW: The City of Springfield operations crews placed 15 curbside pickup parking spaces along Main Street in downtown Springfield. Spaces are available to all businesses offering grab 'n go or pick-up services to their patrons.. ML: NA,Springfield institutes retail curbside pickup,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,Curb,Specific hours during daytime,N/A,one or more streets,Sidewalk,unknown,,Opening up after lockdown,New action,Arbitrary,Temporary,Economic recovery,Change of use,,Introducing new processes,unknown,https://www.springfield-or.gov/downtown-springfield-parking-enforcement-suspended/,,,,,,,,,,,,Public space,Curb,,Springfield Operations,1,,,North America,US,US-OR,1,,,,,,36,MW431,MW431
36,Colombia,,Bogotá,3/15/2020,3/16/2020,,,"TC: In most cases one complete lane taken for bicycles, other lanes kept for motor vehicles. MW: NA. ML: As of March 27 and until April 13 there will be 35 kms of temporary bikeways based on the ciclovia network and with same logistics. Before total quarantine, there were 76 kms (after an initial 22). Also 400 bicycles lent to health providers by NUMO, Despacio, Muvo.; UPDATE: Temporary bikeways have been expanded and will be made permanent.",Ciclovías temporales,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,entire city,Road space (includes bridges),Temporary barriers,84,Strategic response (to fast-track previous policies),Expanding pre-covid action,Based on previous studies,Temp-to-perm,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,Public sector action,"https://www.smartcitiesworld.net/news/news/bogota-expands-bike-lanes-overnight-to-curb-coronavirus-spread-5127 , https://www.smartcitiesworld.net/news/news/bogota-expands-bike-lanes-overnight-to-curb-coronavirus-spread-5127 , city government.",,,,9/4/2020,,,,carlos@numo.global,,,,Public space,,,NA,1,,,Latin America & Caribbean,CO,0,1,,,,,,37,ML141,"ML141, TC025, TC007, TC365"
37,Colombia,,Bogotá,,3/18/2020,,,"TC: NA. MW: In order to keep the virus from spreading on public transportation, Bogotá established that Transmilenio, the mass transportation system, will operate at only 35% of its capacity. The measure intends to avoid agglomerations and thus mitigate the spread of COVID-19. The city is also implementing new bicycle lanes to facilitate safe movement throughout the city. 76 km of emergency bicycle lanes were added in mid-March, and in the next months the construction of 105 km of new bicycle lanes will add to the 500 km that already exist in the city. The objective is to double the bicycle mode share as a sustainable means of transportation, passing from 7% to 15% by the end of this administration.. ML: NA",Bogotá adapts public transport services and adds cycling infrastructure,Other mobility-related strategies,Reduced transit service,restrict transit mobility,restricted transit,Operational,N/A,All day every day,N/A,entire city,,unknown,,Opening up after lockdown,New action,Arbitrary,Unknown,Public health,Mobility restriction,,unknown,unknown,https://bogota.gov.co/mi-ciudad/gestion-publica/cuarentena/bogota-measures-against-coronavirus,,,,,,,,,,,,Public space,,,City of Bogota,1,,,Latin America & Caribbean,CO,,1,,,,,,38,MW061,MW061
38,United States,Colorado,Boulder,,3/18/2020,,,"TC: NA. MW: The city appreciates the need to support Boulder's local businesses as they accommodate curbside pickup, drop off and delivery for community members. For this reason, a grace period of 20 minutes will be accommodated for all on-street paid parking locations in special districts (downtown, University Hill and Boulder Junction); short-term parking in the city's downtown parking garages is free through Sunday night, March 29, to allow for greater business walk-up capacity along Boulder's downtown core; overnight parking is not allowed (no parking between 2 a.m. and 5 a.m. daily), and violators will be booted or towed (B.R.C. 7-7-2) and charged and acts of vandalism, trespassing or other occupancy at the garages and at other public properties is subject to enforcement; other in-person parking and access services (new permit purchases, renewals or refills) have been temporarily suspended due to office closure.. ML: NA",Boulder changes parking enforcement policies,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,Parking lane,unknown,N/A,entire city,,unknown,,Anticipated response,New action,Based on demand,Temporary,Moving people,Change of use,,Modifications to prices,unknown,https://bouldercolorado.gov/newsroom/city-of-boulder-adjusts-parking-management-during-the-covid-19-emergency,,,,,,,,,,,,Public space,,,Boulder Parking Services,1,,,North America,US,US-CO,1,,,,,,39,MW287,MW287
39,United States,Vermont,Burlington,,3/18/2020,,,TC: NA. MW: Green Mountain Power announced that it will reduce the frequency of several LINK and commuter services and cancel others due to reduced ridership and as a precaution against the spread of COVID-19. Bus riders in and around Chittenden County will pay no fare — and use rear entrance-and-exit doors whenever possible — as part of a health alert. The downtown Burlington terminal lobby will be closed until further notice. Purple Line trips from the Burlington Waterfront will be suspended until further notice. Mad River Valley bus service will also be suspended. Stowe Mountain Road Shuttle will be reduced to hourly service.. ML: NA,"Fewer riders, coronavirus risk prompts reduction in Vermont's commuter bus service",Other mobility-related strategies,Reduced transit service,restrict transit mobility,restricted transit,Operational,N/A,N/A,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Based on demand,Indefinite,Public health,Mobility restriction,,unknown,unknown,https://ridegmt.com/covid-19-update/,,,,,,,,,,,,Transit,Bus,,Green Mountain Transit,1,,,North America,US,US-VT,1,,,,,,40,MW467,MW467
40,United States,Michigan,Detroit,,3/18/2020,,,TC: NA. MW: The City of Detroit created a temporary program to provide carryout zones for restaurants. Any restaurant that requests an on-street carryout zone will be given one for no fee. Signage will be installed by the Department of Public Works within 48-72 hours of request.. ML: NA,Detroit institutes temporary loading zones for restaurants,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,1+ travel lanes,All day every day,N/A,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Temporary,Moving goods,Change of use,,Introducing new processes,unknown,https://detroitmi.gov/news/restaurant-carryout-zone-program-0,,,,,,,,,,,,Public space,Curb,,Department of Public Works,1,,,North America,US,US-MI,1,,,,,,41,MW365,MW365
41,United States,Missouri,Kansas City,3/18/2020,3/18/2020,,,"TC: free bikeshare for health care workers & small business owners. MW: In commitment to the health and safety of customers and to provide an alternative delivery solution for local businesses, RideKC Bike and Scooter, a non-profit bicycle and scooter sharing organization, offered free unlimited use for healthcare workers and small businesses.. ML: NA",RideKC Bike and Scooter offers free rides for healthcare workers and small business deliveries,Other mobility-related strategies,Other strategies: bike share,access to bikes,bike share,Financial,N/A,All day every day,N/A,entire city,,unknown,,Opening up after lockdown,New action,Arbitrary,Temporary,Moving people,Other,,Modifications to prices,unknown,"http://ridekcbike.com/2020/03/18/freerides/ , http://ridekcbike.com/2020/03/18/freerides/",,,,,,,,,,,,Shared modes,Bicycle / e-bicycle,,"RideKC Bike & Scooter, KC Area Transportation Authority",1,,1,North America,US,US-MO,1,,,,,,42,MW379,"MW379, TC795"
